role,name,team
student,OVReader,CS2113-F11-1
student,ngdeqi,CS2113-F11-1
student,FeliciaBeatrice,CS2113-F11-1
student,wilsonngja,CS2113-F11-1
student,zoranabc201,CS2113-F11-1
student,sylviahe171,CS2113-F11-2
student,ChengYoghurt,CS2113-F11-2
student,nvknow,CS2113-F11-2
student,yongjicode,CS2113-F11-2
student,zheqis12138,CS2113-F11-2
student,deenliong,CS2113-F11-3
student,kohnh,CS2113-F11-3
student,owenl131,CS2113-F11-3
student,CheahHaoYi,CS2113-F11-3
student,amitrahman1026,CS2113-F11-3
student,dhanish265,CS2113-F11-4
student,RiaVora,CS2113-F11-4
student,karthikstar,CS2113-F11-4
student,kaseykwok,CS2113-F11-4
student,morbenami1,CS2113-F11-4
student,shengiv,CS2113-T17-1
student,JordanKwua,CS2113-T17-1
student,ivanthengwr,CS2113-T17-1
student,Franky4566,CS2113-T17-1
student,insafhere,CS2113-T17-2
student,Zhai-Yuxin,CS2113-T17-2
student,ishitamandal06,CS2113-T17-2
student,Brandon-OS,CS2113-T17-2
student,AaaaaronC,CS2113-T17-3
student,jjtoh,CS2113-T17-3
student,cheehengk,CS2113-T17-3
student,HT-T,CS2113-T17-3
student,eehongchan,CS2113-T17-4
student,malcolmang,CS2113-T17-4
student,pipipipi2002,CS2113-T17-4
student,kyrenechua,CS2113-T17-4
student,indraneelrp,CS2113-T18-1
student,redders7,CS2113-T18-1
student,naz019,CS2113-T18-1
student,matthewphua,CS2113-T18-1
student,snuckerzlol,CS2113-T18-2
student,Brominne,CS2113-T18-2
student,qianz-z,CS2113-T18-2
student,Than-Duc-Huy,CS2113-T18-2
student,jingwei55,CS2113-W12-1
student,chiewyx,CS2113-W12-1
student,winston-lim,CS2113-W12-1
student,jorellesee,CS2113-W12-1
student,bdthanh,CS2113-W12-1
student,brian-vb,CS2113-W12-2
student,chinhan99,CS2113-W12-2
student,wcwy,CS2113-W12-2
student,chydarren,CS2113-W12-2
student,paullowse,CS2113-W12-2
student,NayChi-7,CS2113-W12-3
student,gaoyunfan,CS2113-W12-3
student,junhaoliu2468,CS2113-W12-3
student,maanyos,CS2113-W12-3
student,abhityakrishnaraj,CS2113-W13-1
student,AmethystQ,CS2113-W13-1
student,Markusteim,CS2113-W13-1
student,nshian,CS2113-W13-2
student,joshuan98,CS2113-W13-2
student,ongzhihong,CS2113-W13-2
student,wangtingjia,CS2113-W13-2
student,alfred-leong,CS2113-W13-2
student,penguin-s,CS2113T-W11-1
student,LokQiJun,CS2113T-W11-1
student,jeyvia,CS2113T-W11-1
student,xzynos,CS2113T-W11-1
student,yuu-chennn,CS2113T-W11-1
student,P0tatoChips,CS2113T-W11-2
student,gitpancaked,CS2113T-W11-2
student,lcsroy,CS2113T-W11-2
student,deveshl,CS2113T-W11-2
student,okkhoy,teaching-team
student,damithc,teaching-team
